fantasy_points,fp_last_1,fp_rolling_5,fp_rolling_10,fp_std_10,runs_rolling_5,balls_faced_rolling_5,sixes_rolling_5,wickets_rolling_5,overs_rolling_5,runs_conceded_rolling_5,role_BAT,role_BOWL,role_WK,match_id,player_id,match_date
-2,41.0,41.0,41.0,0.0,33.0,24.0,2.0,,0.0,0.0,True,False,False,501205,00ea847a,2011-04-12
18,-2.0,19.5,19.5,30.405591591021544,16.5,12.5,2.0,,0.0,0.0,True,False,False,501208,00ea847a,2011-04-14
22,18.0,19.0,19.0,21.517434791350013,16.333333333333332,12.666666666666666,2.0,,0.0,0.0,True,False,False,501211,00ea847a,2011-04-16
0,22.0,19.75,19.75,17.63282923034947,14.0,12.75,2.0,,0.0,0.0,True,False,False,501266,00ea847a,2011-05-22
39,0.0,15.8,15.8,17.640861656959956,14.0,10.2,2.0,,0.0,0.0,True,False,False,501268,00ea847a,2011-05-24
59,39.0,15.4,19.666666666666668,18.40289832245635,14.25,12.0,,,0.0,0.0,True,False,False,501270,00ea847a,2011-05-27
12,59.0,27.6,25.285714285714285,22.432968934987077,24.5,18.0,2.0,,0.0,0.0,True,False,False,501271,00ea847a,2011-05-28
27,12.0,26.4,23.625,21.29344298805889,23.0,16.4,2.0,,0.0,0.0,True,False,False,548310,00ea847a,2012-04-07
13,27.0,27.4,24.0,19.949937343260004,25.25,16.8,1.5,,0.0,0.0,True,False,False,548315,00ea847a,2012-04-10
70,13.0,30.0,22.9,19.127931874036403,21.2,18.0,1.5,,0.0,0.0,True,False,False,548318,00ea847a,2012-04-12
47,70.0,36.2,25.8,23.803827890115116,23.4,16.6,2.0,,0.0,0.0,True,False,False,548324,00ea847a,2012-04-15
27,47.0,33.8,30.7,22.450191783392658,22.0,14.6,2.3333333333333335,,0.0,0.0,True,False,False,548327,00ea847a,2012-04-17
1,27.0,36.8,31.6,22.061530117177075,21.8,15.6,2.0,,0.0,0.0,True,False,False,548331,00ea847a,2012-04-20
33,1.0,31.6,29.5,23.99189678018625,18.8,13.2,2.3333333333333335,,0.0,0.0,True,False,False,548336,00ea847a,2012-04-23
11,33.0,35.6,32.8,21.637416152992433,20.8,15.4,2.3333333333333335,,0.0,0.0,True,False,False,548344,00ea847a,2012-04-28
9,11.0,23.8,30.0,22.538855339169295,13.8,12.8,2.0,,0.0,0.0,True,False,False,548350,00ea847a,2012-05-02
23,9.0,16.2,25.0,20.875291082468237,8.4,10.4,1.0,,0.0,0.0,True,False,False,548356,00ea847a,2012-05-06
