player_id,role
00ea847a,BAT
012829ff,BOWL
0164b064,BOWL
0184dc35,BAT
025c4400,BOWL
0264c10e,BOWL
030f3089,BOWL
034b4b7d,BOWL
03806cf8,BOWL
03a83c50,BOWL
0404d43c,BAT
0494fa6e,WK
04a418e8,BAT
05c2ca46,BOWL
0604ef16,BOWL
063b3673,WK
08548b13,AR
0890552f,BAT
0994d0ae,BAT
0a3d54b9,BOWL
0a476045,BAT
0a4ebc61,BOWL
0a509d6b,BAT
0a67aec0,BOWL
0a8fce53,BOWL
0aadc906,WK
0af3426f,BAT
0b60eb09,BOWL
0bacade8,BAT
0bf15e52,BOWL
0c2730df,BOWL
0c432afb,BOWL
0c94f480,BAT
0c9652b0,BOWL
0dc00542,BOWL
0ebfb1ad,BAT
0ed0cdbf,BAT
0edcb652,BAT
0f12f9df,BOWL
0f721006,BOWL
0fa5042b,BAT
107c26fb,BOWL
10a91f35,BOWL
11614d87,BOWL
119678fd,BOWL
11df3dc8,BAT
12314277,BOWL
12b610c2,BAT
12eddf28,BOWL
1399b39c,BAT
13c35c9e,BOWL
13fc5c6d,BOWL
14b14cd8,BAT
14f96089,BOWL
1558d83b,BOWL
16043342,BOWL
1647bd37,BOWL
16605a1b,BOWL
16dfcc19,BOWL
172dff15,BOWL
1763bc6c,BAT
18c78b11,BAT
18e6906e,BOWL
19b9f399,BAT
1a0c3177,BOWL
1a156c88,BAT
1a2676c5,BOWL
1abb78f8,BOWL
1ac746c8,BAT
1b7b0fa7,AR
1be70c88,BAT
1c17e270,WK
1c2a64cd,BAT
1c914163,BAT
1cb14aa4,BOWL
1da489ff,BOWL
1dc12ab9,BAT
1e030637,BOWL
1e66c162,BOWL
1ee08e9a,BOWL
1efb8a28,BAT
1fc6ef83,BAT
2049f3a0,BOWL
20a941bb,BOWL
21ac077a,BOWL
21d4e29b,BOWL
235c2bb6,WK
23ac69e6,BAT
23cca426,BOWL
23eeb873,BOWL
244048f6,BOWL
245c97cb,BOWL
2461eef2,BAT
2498e163,BOWL
249abedf,BOWL
249d60c9,BOWL
24d94623,BOWL
2503e881,BOWL
25228673,BOWL
25eeb281,BAT
25f7b7d6,BAT
260fd380,BOWL
266849c1,BOWL
26989d80,BAT
26a85969,BOWL
26d041c4,AR
26d76ad9,BAT
26e5cabf,BAT
26ff4c29,BAT
271f83cd,BAT
2728e7e9,BAT
272d796e,BAT
27af6414,BAT
27e71d47,BOWL
2815fe50,BAT
287686fd,BOWL
28c78fb3,BAT
297b26da,BAT
29d72eb2,BOWL
29e95537,BAT
2a2e6343,BOWL
2a72fd4f,BOWL
2af1b6d2,BOWL
2b6e6dec,WK
2bb09eb2,BAT
2be41edb,BAT
2c25d4f5,BAT
2c76b512,BOWL
2cdce1be,BOWL
2cffab74,BOWL
2d140b79,BAT
2e11c706,BOWL
2e171977,BOWL
2e78f685,BOWL
2e81a32d,BOWL
2e8994e7,AR
2e9fdf9b,BOWL
2ed569a0,BOWL
2eeb4370,BAT
2f3817ce,BOWL
2f49c897,BOWL
2f9d0389,BOWL
30a2649b,WK
30a45b23,BAT
30df8c66,BOWL
30e37810,BAT
3204c99f,BOWL
32198ae0,BOWL
3241e3fd,BAT
327b58d3,BOWL
331ea488,BAT
3355b542,BAT
33a364a6,BOWL
33cb3411,BAT
33ffc3dd,BOWL
342d8ade,BOWL
350bb1b1,BOWL
35205dfc,BAT
3576e47e,BAT
35f173a0,BAT
36619795,BOWL
36d33dd0,BAT
372455c4,WK
378daa89,BAT
38f2c66c,BOWL
39086549,BAT
39a2dfa8,BOWL
39ed0d2f,BAT
39f01cdb,AR
39f82db3,BAT
3a02626a,BAT
3a60e0b5,BOWL
3ae3f034,BAT
3b53243a,BOWL
3c28853f,BAT
3c55c703,BAT
3c6ffae8,BAT
3d284ca3,BAT
3d7e087f,BOWL
3d8feaf8,BOWL
3dba85c2,BAT
3eac9d95,BOWL
3edb58fc,BOWL
3fb19989,BOWL
3fca55af,BAT
3ff033bb,BAT
402f8494,BOWL
40caa465,BAT
4125d931,BOWL
4180d897,BOWL
41eb4a4f,BOWL
4329fbb5,AR
4353bba5,BOWL
441c72ae,BOWL
44a89551,BAT
44aac2f0,BOWL
44afbf2d,BAT
45a43fe2,BAT
45c2196c,BOWL
45eda7c8,BAT
462411b3,BOWL
465aa633,BOWL
4663bd23,BAT
469ea22b,BOWL
46a9bea1,BOWL
470f446b,BAT
4885bbe6,BOWL
48a1d7b7,BAT
48fd7349,BAT
4933f499,BOWL
495d42a5,BOWL
4a8a2e3b,WK
4ae1755b,BAT
4b31f3a3,BOWL
4b4d1957,BOWL
4b57e452,BAT
4ba44e19,BOWL
4bd09374,BOWL
4c4fa80b,BOWL
4c5d73db,BOWL
4d5a1617,BAT
4d6d6280,BAT
4d7f517e,BOWL
4e04666c,WK
4ec07775,BAT
4f629497,BOWL
5056011d,BAT
50758325,BOWL
508a1ea7,BAT
50c09020,BAT
50c6bc2b,BAT
51a3c5ef,BOWL
51ec3919,BAT
52294a79,BOWL
529eb9e0,BOWL
531f0278,BOWL
53f27a35,BAT
541f85c9,BAT
5451a2c1,BAT
54e52590,BOWL
557153ca,BOWL
5574750c,BOWL
5673a3fc,BOWL
56ab442f,BOWL
5708d0b6,BAT
5724e517,BAT
5748e866,BAT
5750bcb4,BOWL
57ca01b3,BAT
57ee1fde,BOWL
57efa3be,AR
59559bc2,BOWL
5afd4539,WK
5b040b81,BOWL
5b16a806,BOWL
5b627626,BAT
5b7ab5a9,BOWL
5b8c830e,BOWL
5bb1a1c4,BOWL
5bb5a915,BOWL
5bdcdb72,BAT
5d096f3d,BOWL
5d1e7582,BAT
5d2eea49,BOWL
5d9a1a73,BOWL
5f26df4f,BOWL
5f4e9e8f,BOWL
5f547c8b,BOWL
5f5d3ad4,BAT
5fa06777,BOWL
5ffc0565,BOWL
6042bf26,BOWL
60500956,BAT
605b7efa,BAT
611926bc,BOWL
6165bca6,BAT
619aa81f,BAT
62175638,BAT
622cc511,BAT
626c5379,BAT
62af8546,BOWL
62e07f92,WK
63bff7f9,BOWL
641ac5ff,BOWL
64775749,BOWL
64839cb3,BOWL
64a4c383,BOWL
64c34cd0,BAT
64d43928,BOWL
650d5e49,BAT
6581d753,BAT
65b6943c,BOWL
662c47a6,BAT
663b5e34,BAT
66b30f71,BOWL
66cf56a5,BOWL
67af6f81,BOWL
6821ac10,BOWL
6834d1f2,BOWL
68c56d09,BOWL
69762509,BAT
69be866a,BOWL
69d03465,BAT
6a26221c,BAT
6ab96cc2,BAT
6ad3a659,BOWL
6aed7e79,BOWL
6afb26d6,BAT
6b19d823,BOWL
6b2ff18f,BAT
6b71e6cf,WK
6b8eb6e5,BOWL
6c19c6e5,BAT
6c6591ab,BOWL
6c882e9a,BAT
6dbcf855,BAT
6eb146d2,BAT
6ec424a9,BOWL
6ef60d3a,BOWL
6f49cc6e,BOWL
7023d182,BAT
7050a1e7,BAT
709b0bac,BAT
70d205c9,BAT
710dd98c,BAT
7210d461,BOWL
725529bc,BAT
72861603,BAT
73ad96ed,BAT
73c18486,BAT
740742ef,BAT
75224f22,BOWL
752f7486,BAT
756389bd,BAT
759ac88f,BOWL
75de770f,BAT
76388dc8,BOWL
765a4731,BOWL
77255a9e,BAT
77b1aa15,BOWL
78eb4223,BOWL
798934ea,BAT
798cc28e,BOWL
7a8bd078,BOWL
7bb62642,BAT
7bf96684,BAT
7c390b03,BAT
7c3b3b78,BOWL
7c503806,BOWL
7c7d63a2,BOWL
7ca5e05d,AR
7d3720ba,BOWL
7d3937ed,BOWL
7d415ea5,BAT
7d92277a,BOWL
7daedf2f,BAT
7dc35884,BOWL
7dcb9bc9,BAT
7eae4418,BAT
7f048519,BOWL
800d2d97,WK
808f425a,BOWL
80b2fb19,BOWL
81049310,BOWL
81c08fa3,BOWL
81c36ee9,BOWL
8291f939,BAT
8361e524,BOWL
83c3e8e3,BOWL
844e79d1,BAT
84d9c311,BAT
855a210c,BAT
85aae393,BOWL
85b3fab2,BAT
85e0cf10,BOWL
85ec8e33,BAT
864c199e,AR
86ae8ef2,BOWL
86dc8f2e,AR
871e9faf,BOWL
872b03f7,BAT
87e562a9,BOWL
881a9bdd,BAT
888e32bf,BOWL
88fccd6c,BOWL
890946a0,WK
890de8cb,BOWL
896d78ad,BOWL
8998a68f,BAT
89f64c19,BAT
8a668774,BOWL
8abdf100,AR
8ac93ca2,BAT
8b3e9c7c,BAT
8b5b6769,BOWL
8b9704ae,BOWL
8ba8195d,BAT
8cf9814c,BOWL
8d2c70ad,BOWL
8d92a2c3,BOWL
8db7f47f,BOWL
8dc152d1,BOWL
8e514b4c,BAT
8f6dd463,BOWL
8fd1a8f5,BOWL
9061a703,BOWL
90de905a,BOWL
90edaaa9,BAT
9170ff49,BOWL
919a3be2,WK
91a4a398,BOWL
91b9300b,BAT
91ffa6c6,AR
9219eff0,BOWL
92aeac25,BAT
9385de2e,BAT
93a17209,BOWL
93b4fc78,BAT
9418198b,BAT
94253925,BAT
943fd425,BAT
9440ef41,BOWL
944533a5,BAT
94d7f855,AR
94eac556,BOWL
957532de,BOWL
95a2ea61,BAT
9601c534,BAT
96fd40ae,BOWL
970ddd24,BAT
97290faf,BOWL
983f2f61,BOWL
9868bc75,BOWL
989889ff,WK
98ae73b1,BOWL
99258814,BOWL
9948e262,BAT
99b202b3,BOWL
99b75528,BAT
99d63244,BAT
99ed60f8,BOWL
9a0146b3,BOWL
9a158001,BOWL
9a46c4e5,BAT
9a5f2863,BOWL
9a963804,BOWL
9ab63e7b,BAT
9b4935c8,BAT
9b6e1b3f,BAT
9caf69a1,AR
9d430b40,BOWL
9d704f6f,BOWL
9d80c5e1,BOWL
9e7225b0,BAT
9eb1455b,BOWL
9f77963a,BAT
9f961c14,BOWL
9fc0ef64,BOWL
9ff100a6,BAT
a03bba42,BOWL
a12e1d51,BOWL
a1d053dd,BOWL
a1d95bd8,BOWL
a1f1829d,BAT
a24be938,BAT
a2870fb7,BAT
a2f46292,BOWL
a316d663,BOWL
a343262c,BAT
a386e91b,AR
a3b0600d,BAT
a3ecf01f,BAT
a457cfb5,BOWL
a45a5e8d,BAT
a4cc73aa,WK
a4e37e47,BAT
a757b0d8,BAT
a76d10ba,BAT
a7c226e1,BOWL
a818c1be,BOWL
a84468fe,WK
a90e53ec,BAT
a97c8ec2,BOWL
a9da7784,BOWL
a9fd84fb,BOWL
aa5d8c9e,BAT
aa8d28ae,BOWL
aaa1b522,BAT
aad0c365,AR
ab89348d,BOWL
abb83e27,WK
abfeb126,BOWL
ac5ae4af,BOWL
acc1aeda,WK
acd4f5dc,BOWL
acdc62f5,BOWL
acee4cc4,BOWL
ad3b6e95,BAT
ad427b5c,BOWL
ad9c32a2,BAT
ada15e88,BAT
addbde6c,WK
addfb70e,BOWL
ade90de7,BOWL
ae091d39,BAT
ae78bc32,BOWL
aedc3b7c,BAT
af2c687b,BAT
af7dadf7,BOWL
afa7e784,BAT
afe3355a,BAT
b0482a1d,BAT
b0946605,BOWL
b0c772ee,BAT
b0f2baf4,BAT
b1451597,BAT
b17e2f24,BAT
b1ad996b,BOWL
b2570b38,BAT
b274dbbd,BAT
b2a79f17,BOWL
b2ae53f5,BOWL
b2b23612,BOWL
b2b4f545,BAT
b2b50355,BOWL
b410bd3d,BOWL
b4296080,BAT
b483905d,BOWL
b4b99816,BAT
b4f5c2d9,BAT
b51f72a5,BOWL
b52ffbbd,BOWL
b552a935,BOWL
b56dc5f7,BOWL
b5797845,BAT
b57f8a9a,BAT
b5da6c24,WK
b61a3e1a,BAT
b63ab531,BAT
b63e358a,BAT
b681e71e,BAT
b720a5d6,BAT
b822e99c,BOWL
b8527c3d,BOWL
b8a55852,BAT
b8d490fd,BAT
b970a03f,BAT
b9be6507,BAT
ba5e1069,BAT
ba607b88,BAT
ba6b2f91,BAT
bae11797,BAT
bafd0398,BAT
bb18be76,BOWL
bb345e0b,BAT
bb351c23,AR
bb965e9a,BAT
bbd41817,BOWL
bcce309e,BOWL
bcf325d2,BAT
bd17b45f,BAT
bd54eef5,BAT
bd77eb62,AR
bdadf7da,BAT
be24ead0,BAT
be869ccf,BOWL
bff458c6,BAT
c03c6200,BOWL
c03e2850,BAT
c03f1114,WK
c05edf8e,BOWL
c0c411cb,BOWL
c15e2193,BAT
c16d4035,BAT
c18496e1,BOWL
c24a2c5d,BOWL
c27b5a0e,BOWL
c28e9f12,BOWL
c2dd89ea,BAT
c33d8116,BOWL
c38d3503,BOWL
c3a96caf,BAT
c3c92b42,BOWL
c3d1402f,BOWL
c3d35165,BOWL
c404f58a,BOWL
c42aaf71,BAT
c4487b84,BAT
c5aef772,BOWL
c6097d68,BOWL
c64c2443,BOWL
c654af19,BOWL
c695b423,BOWL
c69a7b5c,BAT
c740ea83,BAT
c7a995d3,BOWL
c8179c68,BOWL
c8f5f961,BAT
c96f6ac5,AR
c995d726,BAT
c9cac448,BAT
c9d33ef5,BAT
caa89a48,BOWL
cad00a4d,BAT
caf69bf7,BOWL
cb9b8664,BOWL
cbf58a86,BAT
cc1e8c68,BOWL
cc777ffa,BAT
cca50cd6,AR
cd8d2859,BOWL
cdc6bdba,BOWL
ce4cc4d5,BOWL
ce794613,BOWL
ce820073,BOWL
cedc1d9a,BOWL
cf0ccafa,BOWL
cf59b3f0,BAT
cf73ad76,AR
cfa4bd2b,BOWL
cfad138c,BAT
d014d5ac,BAT
d027ba9f,BAT
d0513f63,BAT
d167edd3,BOWL
d18f9182,BAT
d1a60072,BAT
d1c36f5c,BAT
d1c94b25,BOWL
d2340a43,BOWL
d2a6c0e6,BAT
d2a989fc,BOWL
d2c2b2d5,BAT
d2d4bb0a,BAT
d3611425,BOWL
d3a3e82d,BAT
d45c29b1,BOWL
d4d929b0,BOWL
d4eef961,BOWL
d4f9dbd4,BAT
d5130a30,BAT
d621b427,BOWL
d67d5f00,BAT
d68e7f48,BOWL
d7017798,BAT
d718440b,BOWL
d7a57f75,BOWL
d7b3a420,BOWL
d7c6af50,BOWL
d84378a4,BAT
d8699ab7,BAT
d872f52a,BAT
d8b2f218,BOWL
d9273ee7,AR
d92e42f5,BOWL
da934ee8,BAT
db31895a,BOWL
db584dad,BAT
dbc50253,BOWL
dbe50b21,BOWL
dc4686e6,BOWL
dc9dd038,BAT
dcce6f09,BAT
dce2019b,BAT
dcf81436,BOWL
dd09ff8e,BOWL
dd7e9b3b,BAT
ddb00822,BAT
ddc0828d,AR
dddca1d6,BOWL
dded65e7,BAT
de4b0555,BOWL
de8cce37,BAT
de8d3876,WK
dec8e038,BOWL
ded9240e,BOWL
df064e1a,BOWL
df5a6881,BAT
dfc4d8b5,BOWL
e0351c86,BOWL
e03b66ec,BOWL
e0407c01,BOWL
e087956b,AR
e186f49c,BOWL
e1d1b294,BAT
e1d9ae9c,BAT
e249fdaa,BAT
e2db2409,BOWL
e32d22f6,BOWL
e342e5fb,BOWL
e3851766,BAT
e38bce7a,BOWL
e412cb64,BOWL
e4a0deae,BOWL
e4cdf230,BOWL
e62dd25d,BOWL
e66732f8,WK
e798611a,BAT
e84ac20c,BOWL
e86754b2,BOWL
e938e1bc,BOWL
e94915e6,BOWL
e96801ea,BAT
e9c7f0d0,BOWL
ea0cdc12,BOWL
eaa76d3c,AR
eade4650,AR
ebcfef83,BAT
ed5a5510,BOWL
edb3d4f8,BOWL
ee1b6c27,BOWL
ee3dfa89,BOWL
ee7d0c82,BOWL
eea6b7f1,BAT
eef2536f,BOWL
ef5da05c,BOWL
efc04be7,BOWL
f088b960,BAT
f0af99a7,BAT
f0f628c7,BOWL
f10e94c4,BAT
f1809c03,BAT
f18ba07f,BOWL
f19ccfad,BOWL
f1f99156,BAT
f21043a5,BAT
f233bbb4,AR
f24c6701,BOWL
f24ca2ba,BOWL
f29185a1,BAT
f2c936d7,BAT
f3171936,BOWL
f3cb53a1,BAT
f48cf4da,BAT
f4cb4f53,BAT
f4f0fafd,BAT
f5180fe6,BOWL
f5f18a18,BOWL
f62772e5,BOWL
f663ef00,BAT
f6d8a7ab,BOWL
f708a0bc,BOWL
f752db61,BOWL
f834dcfc,BOWL
f836b33d,BAT
f842c2cf,AR
f846de6a,AR
f89d3b11,BAT
f986ca1a,BOWL
f9e6e7ef,BOWL
fa2f1dde,BOWL
fa463154,BOWL
faa7365d,BAT
facb9086,BAT
fb24e76c,BOWL
fb2d1dda,BAT
fb5f69e4,BAT
fb66ce1f,BOWL
fb693839,BOWL
fcc21ace,BOWL
fd835ab3,BAT
fdcb08c2,BOWL
fdedb37c,BAT
fdf7491e,BOWL
fe11caa6,WK
fe763256,BAT
fe93fd9d,BOWL
fef92afc,BOWL
ff077124,WK
ff1e12a0,BAT
ff1e68fa,BAT
ffe699c0,BOWL
fffa744b,BAT
